Radix,Complexity,Time in ms,BubbleSort,Complexity,Time in s,GnomeSort,Complexity,Time in s,MergeSort,Complexity,Time in ms,QuikSort,Complexity,Time in ms
,1123,0.61,,1123,0.029109,,1123,0.025123,,1123,1.849,,1123,1.769
,1129,0.603,,1129,0.02986,,1129,0.02563,,1129,1.841,,1129,1.73
,1135,0.603,,1135,0.031615,,1135,0.022547,,1135,1.794,,1135,1.839
,1141,0.611,,1141,0.031535,,1141,0.026791,,1141,1.802,,1141,1.753
,1147,0.61,,1147,0.031254,,1147,0.023029,,1147,1.771,,1147,1.9
,1153,0.613,,1153,0.032135,,1153,0.031256,,1153,1.78,,1153,1.885
,1159,0.948,,1159,0.03179,,1159,0.023426,,1159,1.86,,1159,2.394
,1165,0.726,,1165,0.037884,,1165,0.029508,,1165,1.839,,1165,1.862
,1171,0.719,,1171,0.031423,,1171,0.024429,,1171,1.862,,1171,2.09
,1177,0.832,,1177,0.033088,,1177,0.02643,,1177,3.116,,1177,1.721
,1183,0.712,,1183,0.033119,,1183,0.024851,,1183,3.176,,1183,1.963
,1189,0.723,,1189,0.035249,,1189,0.024574,,1189,3.199,,1189,1.745
,1195,0.778,,1195,0.038592,,1195,0.024525,,1195,3.12,,1195,2.131
,1201,0.783,,1201,0.036153,,1201,0.030268,,1201,2.191,,1201,1.956
,1207,0.82,,1207,0.035791,,1207,0.027253,,1207,2.064,,1207,2.06
,1213,0.991,,1213,0.037104,,1213,0.043879,,1213,1.984,,1213,1.975
,1219,0.743,,1219,0.037864,,1219,0.02812,,1219,1.976,,1219,1.971
,1225,0.928,,1225,0.037353,,1225,0.027388,,1225,1.922,,1225,1.94
,1231,1.104,,1231,0.037941,,1231,0.026326,,1231,1.959,,1231,2.134
,1237,1.153,,1237,0.038178,,1237,0.030432,,1237,1.982,,1237,1.919
,1243,1.165,,1243,0.043989,,1243,0.02718,,1243,2.104,,1243,2.235
,1249,0.914,,1249,0.036496,,1249,0.027231,,1249,2.044,,1249,2.165
,1255,0.698,,1255,0.036215,,1255,0.030693,,1255,1.979,,1255,2.452
,1261,0.703,,1261,0.046699,,1261,0.027039,,1261,3.264,,1261,2.176
,1267,0.788,,1267,0.043717,,1267,0.038873,,1267,3.443,,1267,2.308
,1273,0.831,,1273,0.04211,,1273,0.027785,,1273,3.322,,1273,2.15
,1279,0.823,,1279,0.042126,,1279,0.028766,,1279,3.48,,1279,2.291
,1285,0.783,,1285,0.042608,,1285,0.02847,,1285,3.4,,1285,2.078
